,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen,lat,lng
41,"CASA EN VENTA EN CARRETERA NACIONAL, LA JOYA","$ 14,500,000",4,500,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-carretera-nacional-la-joya-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/82f6a7508aef94.jpg,25.555904,-100.2258503
42,Casa en Venta en Carretera Nacional Monterrey Nuevo Leon,"$ 11,500,000",3,470,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-carretera-nacional-monterrey-nuevo-leon-4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1481a2098bf7e7.jpg,25.555904,-100.2258503
43,Casa de lujo con recamara en planta baja,"$ 11,000,000",5,680,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-de-lujo-con-recamara-en-planta-baja-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0a9e04e04d1683.jpg,25.555904,-100.2258503
44,Casa en Venta en La Joya en Loreto Zona Carretera Nacional (LJGC),"$ 8,500,000",3,410,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-en-loreto-zona-carretera-nacional-ljgc-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/75c251e8a8351d.jpg,25.555904,-100.2258503
45,Casa en Venta en La Joya Calandria Zona Carretera Nacional (LJGC),"$ 8,900,000",3,454,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-calandria-zona-carretera-nacional-ljgc-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2f4a98c8733b5a.jpg,25.555904,-100.2258503
46,"CASA EN VENTA FRACCIONAMIENTO LA JOYA $8,900,000","$ 8,900,000",4,419,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-fraccionamiento-la-joya-8-900-000-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d08dac30297d03.jpg,25.555904,-100.2258503
47,La Joya Privada Residencial -CARRETERA NACIONAL- Casa en Venta Monterrey Zona Sur,"$ 14,500,000",3,500,"La Joya, Monterrey",https://www.lamudi.com.mx/la-joya-privada-residencial-carretera-nacional-casa-en-venta-monterrey-zona-sur-16.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1a5c7e278b4b4c.jpg,25.555904,-100.2258503
48,Casa en Venta en La Joya Carretera Nacional con alberca,"$ 12,500,000",3,505,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-carretera-nacional-con-alberca.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f36ebe02b97984.jpg,25.555904,-100.2258503
49,"PRO1722 Casas en Venta, La Joya en Monterrey","$ 8,950,000",4,354,"La Joya, Monterrey",https://www.lamudi.com.mx/pro1722-casas-en-venta-la-joya-en-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9b7bff6797b330.jpg,25.555904,-100.2258503
50,La Joya Privada Residencial -CARRETERA NACIONAL- Casa Venta/Renta Monterrey,"$ 9,700,000",3,451,"La Joya, Monterrey",https://www.lamudi.com.mx/la-joya-privada-residencial-carretera-nacional-casa-venta-renta-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/60394b54807f8a.jpg,25.555904,-100.2258503
